행정구역	2022년11월_총인구수	2022년11월_세대수	2022년11월_세대당 인구	2022년11월_남자 인구수	2022년11월_여자 인구수	2022년11월_남여 비율
전라남도 무안군 몽탄면(4684032000)	2,977	1,842	1.62	1,484	1,493	0.99
전라남도 무안군 청계면(4684033000)	6,337	3,753	1.69	3,299	3,038	1.09
전라남도 무안군 현경면(4684034000)	4,455	2,763	1.61	2,292	2,163	1.06
전라남도 무안군 망운면(4684035000)	1,867	1,091	1.71	959	908	1.06
전라남도 무안군 해제면(4684036000)	4,721	2,823	1.67	2,405	2,316	1.04
전라남도 무안군 운남면(4684037000)	2,825	1,639	1.72	1,451	1,374	1.06
전라남도 함평군 (4686000000)	30,848	18,015	1.71	15,573	15,275	1.02
전라남도 함평군 함평읍(4686025000)	8,270	4,330	1.91	4,078	4,192	0.97
전라남도 함평군 손불면(4686031000)	3,255	1,958	1.66	1,664	1,591	1.05
전라남도 함평군 신광면(4686032000)	1,753	1,087	1.61	875	878	1
전라남도 함평군 학교면(4686033000)	3,593	2,197	1.64	1,804	1,789	1.01
전라남도 함평군 엄다면(4686034000)	1,845	1,137	1.62	900	945	0.95
전라남도 함평군 대동면(4686035000)	3,026	1,838	1.65	1,566	1,460	1.07
전라남도 함평군 나산면(4686036000)	2,749	1,700	1.62	1,368	1,381	0.99
전라남도 함평군 해보면(4686037000)	2,731	1,620	1.69	1,389	1,342	1.04
전라남도 함평군 월야면(4686038000)	3,626	2,148	1.69	1,929	1,697	1.14
전라남도 영광군 (4687000000)	52,169	27,530	1.89	26,073	26,096	1
전라남도 영광군 영광읍(4687025000)	22,189	10,442	2.12	10,906	11,283	0.97
전라남도 영광군 백수읍(4687025300)	4,510	2,641	1.71	2,228	2,282	0.98
전라남도 영광군 홍농읍(4687025600)	6,641	3,447	1.93	3,511	3,130	1.12
전라남도 영광군 대마면(4687031000)	1,695	1,042	1.63	890	805	1.11
전라남도 영광군 묘량면(4687032000)	1,729	998	1.73	863	866	1
전라남도 영광군 불갑면(4687033000)	1,351	766	1.76	682	669	1.02
전라남도 영광군 군서면(4687034000)	2,266	1,259	1.8	1,157	1,109	1.04
전라남도 영광군 군남면(4687035000)	2,310	1,404	1.65	1,100	1,210	0.91
전라남도 영광군 염산면(4687036000)	3,853	2,386	1.61	1,893	1,960	0.97
전라남도 영광군 법성면(4687037000)	5,028	2,729	1.84	2,476	2,552	0.97
전라남도 영광군 낙월면(4687038000)	400	281	1.42	247	153	1.61
전라남도 영광군 낙월면안마출장소(4687038500)	197	135	1.46	120	77	1.56
전라남도 장성군 (4688000000)	43,046	23,276	1.85	22,117	20,929	1.06
전라남도 장성군 장성읍(4688025000)	13,265	6,649	2	6,580	6,685	0.98
전라남도 장성군 진원면(4688031000)	3,652	1,811	2.02	1,867	1,785	1.05
전라남도 장성군 남면(4688032000)	3,715	2,276	1.63	2,020	1,695	1.19
전라남도 장성군 동화면(4688033000)	1,790	1,081	1.66	947	843	1.12
전라남도 장성군 삼서면(4688034000)	3,060	1,749	1.75	1,653	1,407	1.17
전라남도 장성군 삼계면(4688035000)	5,735	2,878	1.99	3,046	2,689	1.13
전라남도 장성군 황룡면(4688036000)	4,017	2,228	1.8	2,036	1,981	1.03
전라남도 장성군 서삼면(4688037000)	1,543	892	1.73	806	737	1.09
전라남도 장성군 북일면(4688038000)	1,364	823	1.66	684	680	1.01
전라남도 장성군 북이면(4688039000)	2,747	1,551	1.77	1,365	1,382	0.99
전라남도 장성군 북하면(4688040000)	2,158	1,338	1.61	1,113	1,045	1.07
전라남도 완도군 (4689000000)	47,634	25,767	1.85	24,028	23,606	1.02
전라남도 완도군 완도읍(4689025000)	17,562	8,839	1.99	8,829	8,733	1.01
전라남도 완도군 금일읍(4689025300)	3,546	2,066	1.72	1,800	1,746	1.03
전라남도 완도군 노화읍(4689025600)	4,190	2,198	1.91	2,119	2,071	1.02
전라남도 완도군 노화읍넙도출장소(4689029000)	743	421	1.76	405	338	1.2
전라남도 완도군 군외면(4689031000)	3,070	1,859	1.65	1,562	1,508	1.04
전라남도 완도군 신지면(4689032000)	3,285	1,851	1.77	1,677	1,608	1.04
전라남도 완도군 고금면(4689033000)	4,094	2,331	1.76	2,015	2,079	0.97
전라남도 완도군 약산면(4689034000)	2,211	1,295	1.71	1,132	1,079	1.05
전라남도 완도군 청산면(4689035000)	2,038	1,204	1.69	1,002	1,036	0.97
전라남도 완도군 청산면모도출장소(4689035500)	215	132	1.63	112	103	1.09
전라남도 완도군 소안면(4689036000)	2,392	1,290	1.85	1,183	1,209	0.98
전라남도 완도군 금당면(4689037000)	931	535	1.74	464	467	0.99
전라남도 완도군 보길면(4689038000)	2,572	1,260	2.04	1,310	1,262	1.04
전라남도 완도군 생일면(4689039000)	785	486	1.62	418	367	1.14
전라남도 진도군 (4690000000)	29,543	16,580	1.78	14,696	14,847	0.99
전라남도 진도군 진도읍(4690025000)	10,535	5,275	2	5,214	5,321	0.98
전라남도 진도군 군내면(4690031000)	2,938	1,705	1.72	1,485	1,453	1.02
전라남도 진도군 고군면(4690032000)	3,494	1,918	1.82	1,710	1,784	0.96
전라남도 진도군 의신면(4690033000)	3,394	2,074	1.64	1,742	1,652	1.05
전라남도 진도군 임회면(4690034000)	3,342	1,994	1.68	1,631	1,711	0.95
전라남도 진도군 지산면(4690035000)	2,988	1,841	1.62	1,446	1,542	0.94
전라남도 진도군 조도면(4690036000)	2,214	1,399	1.58	1,132	1,082	1.05
전라남도 진도군 조도면가사출장소(4690036500)	257	165	1.56	138	119	1.16
전라남도 진도군 조도면거차출장소(4690036600)	381	209	1.82	198	183	1.08
